path,cluster,keyword,avg_monthly,competition,comp_index,bid_low,bid_high,yoy
1-damage-care,pilling,"how to remove pilling from clothes",5000,High,93,0.10,1.35,0%
1-damage-care,shoe-yellowing,"how to whiten yellowed shoe soles",50,High,70,0.23,1.09,900%
6-buyer,condition-terms,"what does nwot mean",5000,Low,0,,,0%
4-value,pricing,"how to price used clothes for resale",50,Low,7,0.80,9.05,0%
5-marketplace-howto,ebay-sold,"how to check ebay sold listings",500,Low,0,,,900%
8-vintage-auth,single-stitch,"single stitch t shirt",500,High,100,0.13,1.21,0%
5-marketplace-howto,photos,"how to take photos of clothes to sell",50,Low,22,0.37,3.06,0%
3-tools,inventory,"reseller inventory spreadsheet",500,High,100,2.24,21.71,0%
7-positioning,comparison,"poshmark vs mercari vs depop",50,Low,8,,,0%
1-damage-care,pilling,"how to get rid of pilling on clothes",5000,High,83,0.09,1.44,0%
1-damage-care,pilling,"how to remove fuzz from clothes",500,High,98,0.24,1.44,0%
1-damage-care,pilling,"how to get rid of fuzz balls on clothes",500,High,75,0.07,1.30,0%
1-damage-care,pilling,"how to get rid of lint balls on clothes",5000,High,89,0.08,1.41,0%
1-damage-care,pilling,"how to fix pilling on clothes",500,Medium,64,0.07,1.38,0%
1-damage-care,pilling,"how to stop pilling on clothes",500,Low,32,0.30,1.62,0%
1-damage-care,pilling,"how to remove bobbles from clothes",5000,High,93,0.10,1.35,0%
1-damage-care,pilling,"how to get rid of fuzz on clothes",500,High,98,0.24,1.44,0%
1-damage-care,pilling,"how to remove lint balls from clothes",5000,High,89,0.08,1.41,0%
1-damage-care,pilling,"how to keep clothes from pilling",500,Medium,53,0.35,1.73,0%
1-damage-care,pilling,"how to remove pilling from clothes at home",500,High,89,0.26,1.32,0%
1-damage-care,pilling,"how to get rid of pills on clothes",5000,High,83,0.09,1.44,0%
8-vintage-auth,single-stitch,"single stitch shirt",5000,High,98,0.08,0.39,0%
1-damage-care,pilling,"how to remove pills from sweaters",500,High,84,0.09,0.41,0%
1-damage-care,pilling,"how to get rid of bobbles on clothes",50,Low,1,,,0%
1-damage-care,pilling,"how to remove pilling on clothes",5000,High,93,0.10,1.35,0%
1-damage-care,pilling,"how to avoid pilling on clothes",500,Low,28,0.84,1.65,0%
1-damage-care,pilling,"how to remove fuzz balls from clothes",5000,High,89,0.08,1.41,0%
5-marketplace-howto,photos,"how to take pictures of clothes to sell",500,Low,20,0.47,4.12,0%
1-damage-care,pilling,"how to depill a sweater",500,Medium,58,0.08,0.43,0%
1-damage-care,pilling,"how to depill clothes",50,High,73,0.12,1.29,0%
5-marketplace-howto,selling,"how can i sell clothes",5000,Medium,54,1.36,6.12,0%
1-damage-care,pilling,"how to remove balls from clothes",50,High,96,0.24,1.29,0%
1-damage-care,pilling,"how to de pill clothes",50,High,85,0.16,1.26,0%
3-tools,inventory,"reseller spreadsheet template free",50,Medium,39,3.14,14.05,0%
1-damage-care,pilling,"how to get rid of balls on clothes",50,Low,5,,,0%
1-damage-care,pilling,"how to get rid of fabric pills",500,Medium,62,0.09,1.51,0%
1-damage-care,pilling,"how to de pill a sweater",50,Low,17,,,0%
1-damage-care,pilling,"how to get rid of pilling on sweaters",500,High,83,0.08,0.37,900%
1-damage-care,pilling,"how to remove pills from fabric",5000,High,93,0.10,1.35,0%
1-damage-care,pilling,"how to remove fuzz from sweater",500,Medium,51,0.07,0.50,0%
5-marketplace-howto,ebay-sold,"how to check sold items on ebay",5000,Low,0,0.32,2.06,0%
5-marketplace-howto,photos,"how to photograph clothing for resale",50,Low,30,0.17,1.46,0%
1-damage-care,pilling,"how to prevent fuzz balls on clothes",50,Medium,40,1.13,1.84,0%
1-damage-care,pilling,"how to remove pilling from wool sweater",50,High,100,0.06,0.44,0%
3-tools,inventory,"best reseller spreadsheet",50,High,82,1.64,5.23,0%
1-damage-care,pilling,"how to fix fabric pilling",500,Medium,34,0.17,1.44,0%
1-damage-care,pilling,"how to de bobble clothes",50,Unknown,,,,0%
1-damage-care,pilling,"how to remove lint from sweater",500,High,77,0.03,1.36,-90%
1-damage-care,pilling,"how to remove lint balls from couch",50,High,100,0.24,0.53,0%
1-damage-care,pilling,"how to defuzz a sweater",500,High,91,0.05,0.29,0%
1-damage-care,pilling,"how do you get rid of fuzz balls on clothes",50,High,73,0.30,1.45,0%
1-damage-care,pilling,"how to get rid of sweater pills",500,High,84,0.09,0.41,0%
1-damage-care,pilling,"how to remove cotton balls from clothes",50,High,68,0.16,1.53,0%
1-damage-care,pilling,"how to keep fabric from pilling",50,Medium,55,0.04,1.42,0%
1-damage-care,pilling,"how to remove lint balls",500,Low,30,0.07,1.41,0%
1-damage-care,pilling,"how to shave pills off fabric",50,High,88,0.10,1.28,0%
5-marketplace-howto,photos,"how to photograph clothes to sell",500,Low,16,0.38,2.06,0%
