path,cluster,keyword,avg_monthly,competition,comp_index,bid_low,bid_high,yoy
1-damage-care,repair,how to fix a broken zipper,50000,Low,16,0.01,0.37,0%
1-damage-care,stain-removal,how to get blood out of clothes,50000,Medium,41,0.02,0.5,0%
1-damage-care,stain-removal,how to remove oil stains from clothes,50000,Medium,53,0.03,0.55,0%
1-damage-care,repair,how to sew on a button,50000,Low,13,0.01,0.05,0%
1-damage-care,repair,how to fix a hole in jeans,5000,Low,17,0.23,0.57,0%
1-damage-care,repair,how to fix a snag in a sweater,5000,Low,3,0.02,0.57,0%
1-damage-care,stain-removal,how to get bleach stains out of clothes,5000,Low,12,0.24,1.06,0%
1-damage-care,odor,how to get mildew smell out of clothes,5000,Medium,45,0.07,1.6,0%
1-damage-care,odor,how to get musty smell out of clothes,5000,Medium,61,0.39,1.65,0%
1-damage-care,odor,how to get smoke smell out of clothes,5000,Low,31,0.05,1.45,0%
1-damage-care,stain-removal,how to remove deodorant stains from shirts,5000,Medium,37,0.02,0.67,0%
1-damage-care,stain-removal,how to remove grease stains from clothes,5000,Medium,59,0.03,0.56,0%
1-damage-care,stain-removal,how to remove ink stains from clothes,5000,High,68,0.05,0.98,0%
1-damage-care,stain-removal,how to remove mildew stains from fabric,5000,High,82,0.02,0.6,0%
1-damage-care,repair,how to remove pilling from clothes,5000,High,93,0.1,1.35,0%
1-damage-care,stain-removal,how to remove stains from leather,5000,High,69,0.02,0.48,0%
1-damage-care,stain-removal,how to remove sweat stains from white shirts,5000,Medium,52,0.08,0.78,0%
1-damage-care,restore,how to remove wrinkles without an iron,5000,Low,7,0.02,0.4,0%
1-damage-care,repair,how to replace a zipper pull,5000,Medium,49,0.03,0.51,0%
1-damage-care,restore,how to unshrink clothes,5000,Low,14,0.02,0.48,0%
1-damage-care,care,how to wash a wool sweater,5000,Low,11,0.04,0.27,0%
1-damage-care,care,how to clean thrift store clothes,500,Low,1,,,-90%
