path,cluster,keyword,shape,avg_monthly,competition,comp_index,bid_low,bid_high,yoy,three_month
3-tools,listing-composer,"ebay listing template",template,500,Low,7,1.50,4.93,0%,0%
3-tools,listing-composer,"ebay description template",template,500,Low,5,1.56,7.66,0%,0%
3-tools,listing-composer,"ebay html description template",template,50,Low,11,,,0%,0%
3-tools,listing-composer,"ebay title generator",tool-noun,50,Low,15,1.67,4.56,0%,0%
3-tools,listing-composer,"ebay title builder",tool-noun,500,Low,6,0.37,5.27,-90%,0%
3-tools,listing-composer,"ebay keyword tool",tool-noun,500,Low,2,2.00,8.09,0%,0%
3-tools,listing-composer,"ebay item specifics tool",tool-noun,50,Medium,43,,,0%,∞
3-tools,listing-composer,"ebay listing analyzer",tool-noun,50,Low,21,2.34,6.51,0%,0%
3-tools,listing-composer,"poshmark listing template",template,50,Low,1,,,0%,0%
3-tools,listing-composer,"depop description template",template,50,Low,0,,,900%,900%
3-tools,listing-composer,"clothing listing template",template,,,,,,,
3-tools,listing-composer,"listing description generator",tool-noun,50,Low,28,0.17,6.04,0%,0%
3-tools,comps-pricing,"ebay sold price checker",tool-noun,50,Low,2,,,0%,0%
3-tools,comps-pricing,"ebay price checker",tool-noun,500,Low,4,1.04,2.86,0%,0%
3-tools,comps-pricing,"ebay average sold price",tool-noun,500,Low,0,,,900%,0%
3-tools,comps-pricing,"sold listings lookup",lookup,,,,,,,
3-tools,comps-pricing,"ebay comp checker",tool-noun,50,Low,2,,,0%,0%
3-tools,comps-pricing,"terapeak alternative",tool-noun,50,Low,11,2.77,17.92,0%,0%
3-tools,comps-pricing,"used clothing price checker",tool-noun,,,,,,,
3-tools,comps-pricing,"clothing value calculator",tool-noun,50,Low,4,,,0%,0%
3-tools,comps-pricing,"resale value calculator",tool-noun,50,Medium,43,0.92,3.49,-90%,0%
3-tools,comps-pricing,"thrift store price checker",tool-noun,,,,,,,
3-tools,fee-math,"ebay break even calculator",tool-noun,50,Low,0,,,0%,0%
3-tools,fee-math,"reseller break even calculator",tool-noun,,,,,,,
3-tools,fee-math,"ebay promoted listings fee calculator",tool-noun,50,Low,0,,,0%,0%
3-tools,fee-math,"promoted listings calculator",tool-noun,,,,,,,
3-tools,fee-math,"ebay store fee calculator",tool-noun,50,Low,1,,,0%,0%
3-tools,fee-math,"ebay auction fee calculator",tool-noun,50,Low,0,,,0%,0%
3-tools,fee-math,"best offer calculator",tool-noun,,,,,,,
3-tools,fee-math,"consignment payout calculator",tool-noun,,,,,,,
3-tools,fee-math,"consignment split calculator",tool-noun,,,,,,,
3-tools,fee-math,"markdown calculator",tool-noun,500,Low,0,,,0%,0%
