cluster,query,impressions_6mo,clicks_6mo,avg_position,monthly_volume_you_fill_in,has_page_today,notes
marketplace-migration,mercari to grailed,21,0,11.9,,,
marketplace-migration,grailed to mercari,18,0,10.8,,,
marketplace-migration,grailed to poshmark,18,0,18.3,,,
marketplace-migration,whatnot to poshmark,17,0,22.1,,,
marketplace-migration,mercari to vinted,17,0,22.5,,,
marketplace-migration,poshmark to whatnot,17,0,23.7,,,
marketplace-migration,ebay to grailed,16,0,19.8,,,
marketplace-migration,poshmark to grailed,16,0,20.2,,,
marketplace-migration,grailed to ebay,14,0,18.2,,,
marketplace-migration,vinted to mercari,14,0,22.1,,,
marketplace-migration,import mercari to grailed,8,0,22.1,,,
marketplace-migration,import grailed to mercari,6,0,20.8,,,
marketplace-migration,cross list from mercari to poshmark,4,0,23.2,,,
marketplace-migration,whatnot to ebay,4,0,27.5,,,
marketplace-migration,import grailed to poshmark,3,0,25.7,,,
marketplace-migration,vinted to poshmark,3,0,29.7,,,
marketplace-migration,depop to poshmark,2,0,16.5,,,
marketplace-migration,import ebay to grailed,2,0,24.0,,,
marketplace-migration,cross list mercari to grailed,2,0,26.0,,,
crosslisting-commercial,cross listing software,32,0,58.2,,,
crosslisting-commercial,cross listing app,13,0,47.1,,,
crosslisting-commercial,best cross listing app,11,0,42.3,,,
crosslisting-commercial,crosslisting app,11,0,49.1,,,
crosslisting-commercial,cross listing apps,9,0,50.8,,,
crosslisting-commercial,best cross listing app for resellers,7,0,44.6,,,
crosslisting-commercial,best crosslisting app for resellers,6,0,44.5,,,
crosslisting-commercial,crosslisting software,5,0,56.6,,,
crosslisting-commercial,cross list from mercari to poshmark,4,0,23.2,,,
crosslisting-commercial,best crosslisting apps,4,0,41.5,,,
crosslisting-commercial,cross listing for resellers,4,0,50.0,,,
crosslisting-commercial,best cross listing software,4,0,53.0,,,
crosslisting-commercial,cross listing platforms,4,0,53.8,,,
crosslisting-commercial,best crosslisting app,3,0,41.3,,,
crosslisting-commercial,cross listing app for resellers,3,0,45.7,,,
crosslisting-commercial,crosslisting tools,3,0,49.7,,,
crosslisting-commercial,cross listing tool,3,0,52.0,,,
crosslisting-commercial,crosslisting services,3,0,64.0,,,
crosslisting-commercial,cross list mercari to grailed,2,0,26.0,,,
crosslisting-commercial,best cross listing app 2023,2,0,40.5,,,
crosslisting-commercial,crosslisting apps,2,0,46.5,,,
crosslisting-commercial,top cross listing app for resellers,2,0,46.5,,,
crosslisting-commercial,cheapest cross listing app,2,0,51.5,,,
crosslisting-commercial,cross listing tools,2,0,51.5,,,
crosslisting-commercial,crosslist alternative,2,0,52.0,,,
crosslisting-commercial,crosslisting,2,0,57.5,,,
crosslisting-commercial,crosslisting platform,2,0,60.5,,,
crosslisting-commercial,crosslisting apps for resellers,1,0,39.0,,,
crosslisting-commercial,best reseller cross listing app,1,0,40.0,,,
crosslisting-commercial,crosslist software,1,0,45.0,,,
crosslisting-commercial,best app for cross listing,1,0,46.0,,,
crosslisting-commercial,crosslist trial,1,0,46.0,,,
crosslisting-commercial,free cross listing app for resellers,1,0,51.0,,,
crosslisting-commercial,reseller cross listing,1,0,52.0,,,
crosslisting-commercial,crosslisting platforms,1,0,53.0,,,
crosslisting-commercial,cross-listing apps,1,0,56.0,,,
crosslisting-commercial,best cross listing tool,1,0,57.0,,,
crosslisting-commercial,cross listing platform,1,0,57.0,,,
crosslisting-commercial,crosslister app,1,0,57.0,,,
crosslisting-commercial,crosslist free trial,1,0,59.0,,,
crosslisting-commercial,cross listing services,1,0,61.0,,,
crosslisting-commercial,cross listing price,1,0,64.0,,,
luxury-designer-resale,authenticated luxury resale platforms,55,0,36.6,,,
luxury-designer-resale,luxury resale platforms comparison,51,0,47.4,,,
luxury-designer-resale,trusted luxury resale platforms,28,0,70.1,,,
luxury-designer-resale,reliable luxury resale platforms,25,0,59.9,,,
luxury-designer-resale,secure luxury resale platform,22,0,74.0,,,
luxury-designer-resale,which app has the most listings for a second-hand designer handbag?,12,0,10.2,,,
luxury-designer-resale,designer resale apps,11,0,9.6,,,
luxury-designer-resale,designer resale app,10,0,10.6,,,
luxury-designer-resale,best app to sell designer clothes,10,0,12.4,,,
luxury-designer-resale,best apps to buy secondhand designer clothes,5,0,10.6,,,
luxury-designer-resale,which resale platforms offer the best buyer protection for luxury women's clothing?,2,0,6.0,,,
luxury-designer-resale,second hand designer clothes app,2,0,35.5,,,
luxury-designer-resale,"i am a 25-34 or 35-44 year old female. my main motivations: time constrained, interest in luxury fashion, stylish secure authentication luxury clothing resale platform",1,0,1.0,,,
luxury-designer-resale,i am a collector selectively letting go of pieces from my collection rather than exiting the hobby altogether. i often resell rare and valuable pieces that i've found or bought previously. what essential factors should you evaluate when assessing fashion resale platforms? categorize these factors into distinct groups and describe the significance of each group.,1,0,1.0,,,
luxury-designer-resale,luxury resale platforms,1,0,40.0,,,
luxury-designer-resale,best platform to sell designer clothes,1,0,97.0,,,
llm-style-long-prompt,i buy pre-owned fashion regularly and gravitate toward well-known premium labels and quality brands can you recommend some online marketplaces? give me pros and cons for each online marketplaces.,12,0,60.2,,,
llm-style-long-prompt,i buy pre-owned fashion regularly and gravitate toward well-known premium labels and quality brands can you recommend some collectibles online marketplaces? give me pros and cons for each collectibles online marketplaces.,11,0,49.9,,,
llm-style-long-prompt,"i buy pre-owned fashion regularly and gravitate toward well-known premium labels and quality brands can you recommend some pre-owned fashion online marketplaces that provide the best authentic products and trusted sellers? for each brand, give me pros and cons in the context of authentic products and trusted sellers.",9,0,33.0,,,
llm-style-long-prompt,"i buy pre-owned fashion regularly and gravitate toward well-known premium labels and quality brands can you recommend some online marketplaces that provide the best selection range? for each brand, give me pros and cons in the context of selection range.",9,0,46.0,,,
llm-style-long-prompt,"can you recommend some jacket brands that have the best resale value? for each brand, give me pros and cons in the context of resale value.",8,0,28.8,,,
llm-style-long-prompt,"i buy pre-owned fashion regularly and gravitate toward well-known premium labels and quality brands i'm looking for recommendations for online marketplaces. list some online marketplaces, and tell me for each why would you, or wouldn't you, recommend them.",8,0,54.2,,,
llm-style-long-prompt,"i shop for high-end and designer pieces and am willing to pay a premium for the right item can you recommend some online marketplaces that provide the best best overall value? for each brand, give me pros and cons in the context of best overall value.",7,0,31.6,,,
llm-style-long-prompt,"i buy pre-owned fashion regularly and gravitate toward well-known premium labels and quality brands can you recommend some pre-owned fashion online marketplaces that provide the best ease of use & marketplace experience? for each brand, give me pros and cons in the context of ease of use & marketplace experience.",7,0,47.0,,,
llm-style-long-prompt,"i shop for high-end and designer pieces and am willing to pay a premium for the right item can you recommend some pre-owned fashion online marketplaces that provide the best best overall value? for each brand, give me pros and cons in the context of best overall value.",6,0,37.0,,,
llm-style-long-prompt,"i buy pre-owned fashion regularly and gravitate toward well-known premium labels and quality brands can you recommend some pre-owned fashion online marketplaces that provide the best selection range? for each brand, give me pros and cons in the context of selection range.",6,0,48.5,,,
llm-style-long-prompt,i shop for high-end and designer pieces and am willing to pay a premium for the right item how easy is it to navigate ebay's website or app when searching for pre-owned fashion items?,5,0,32.0,,,
llm-style-long-prompt,"i buy pre-owned fashion regularly and gravitate toward well-known premium labels and quality brands can you recommend some collectibles online marketplaces that provide the best ease of use & marketplace experience? for each brand, give me pros and cons in the context of ease of use & marketplace experience.",5,0,41.8,,,
llm-style-long-prompt,i buy pre-owned fashion regularly and gravitate toward well-known premium labels and quality brands how does the selection of pre-owned fashion on ebay compare to other online marketplaces?,5,0,45.0,,,
llm-style-long-prompt,"i buy pre-owned fashion regularly and gravitate toward well-known premium labels and quality brands can you recommend some online marketplaces that provide the best best overall value? for each brand, give me pros and cons in the context of best overall value.",5,0,46.8,,,
llm-style-long-prompt,"i am going through my closet to get rid of clothing and accessories i no longer wear, and want to resell them online. how does ebay handle disputes between buyers and sellers, and what is the process for sellers to appeal a decision?",5,0,50.8,,,
llm-style-long-prompt,"i buy pre-owned fashion regularly and gravitate toward well-known premium labels and quality brands can you recommend some online marketplaces that provide the best ease of use & marketplace experience? for each brand, give me pros and cons in the context of ease of use & marketplace experience.",5,0,54.8,,,
llm-style-long-prompt,i buy pre-owned fashion regularly and gravitate toward well-known premium labels and quality brands are there specific ebay programs or guarantees that ensure product authenticity?,4,0,27.2,,,
llm-style-long-prompt,"i buy pre-owned fashion regularly and gravitate toward well-known premium labels and quality brands can you recommend some online marketplaces that provide the best authentic products and trusted sellers? for each brand, give me pros and cons in the context of authentic products and trusted sellers.",4,0,31.8,,,
llm-style-long-prompt,"i buy pre-owned fashion regularly and gravitate toward well-known premium labels and quality brands can you recommend some pre-owned fashion online marketplaces that provide the best best overall value? for each brand, give me pros and cons in the context of best overall value.",4,0,47.5,,,
llm-style-long-prompt,"i have not bought many secondhand items online before, so i want a marketplace that feels established and easy to navigate. are there any additional fees or hidden costs associated with purchasing on ebay that could impact the overall value?",4,0,80.0,,,
llm-style-long-prompt,"i shop for high-end and designer pieces and am willing to pay a premium for the right item can you recommend some pre-owned fashion online marketplaces that provide the best ease of use & marketplace experience? for each brand, give me pros and cons in the context of ease of use & marketplace experience.",3,0,43.3,,,
llm-style-long-prompt,i resell items on a regular basis and think about marketplaces as part of an ongoing income stream. how do ebay's fees and shipping costs affect the final selling price of my fashion items?,3,0,59.7,,,
llm-style-long-prompt,"i am a 25-34 or 35-44 year old female. my main motivations: time constrained, interest in luxury fashion, stylish clothing resale website with best authentication process",2,0,3.0,,,
llm-style-long-prompt,"i am a 25-34 or 35-44 year old female. my main motivations: time constrained, interest in luxury fashion, stylish best luxury consignment app",2,0,9.5,,,
llm-style-long-prompt,i am a collector selectively letting go of pieces from my collection rather than exiting the hobby altogether. i often resell rare and valuable pieces that i've found or bought previously. can you recommend some fashion resale platform brands? give me pros and cons for each brand.,2,0,40.0,,,
llm-style-long-prompt,"i am a 25-34 or 35-44 year old female. my main motivations: time constrained, interest in luxury fashion, stylish secure authentication luxury clothing resale platform",1,0,1.0,,,
llm-style-long-prompt,"i am a collector selectively letting go of pieces from my collection rather than exiting the hobby altogether. i often resell rare and valuable pieces that i've found or bought previously. can you recommend some fashion resale platform brands that provide the best quality of buyers? for each brand, give me pros and cons in the context of quality of buyers.",1,0,1.0,,,
llm-style-long-prompt,i am a collector selectively letting go of pieces from my collection rather than exiting the hobby altogether. i often resell rare and valuable pieces that i've found or bought previously. what essential factors should you evaluate when assessing fashion resale platforms? categorize these factors into distinct groups and describe the significance of each group.,1,0,1.0,,,
llm-style-long-prompt,"i am a 25-34 or 35-44 year old female. my main motivations: time constrained, interest in luxury fashion, stylish best app for selling luxury fashion",1,0,5.0,,,
llm-style-long-prompt,context: location: united states (not for language). do not include location references in your response. question: compare shopping luxury fashion through a retailer’s app versus a resale app—what features actually make it easier to find the right item?,1,0,9.0,,,
llm-style-long-prompt,"can you recommend the best online shopping platforms to buy chanel ready-to-wear products listed for resale? for online shopping platform, give me pros and cons in the context of resale.",1,0,34.0,,,
llm-style-long-prompt,"i buy pre-owned fashion regularly and gravitate toward well-known premium labels and quality brands does ebay provide a seamless checkout process for purchasing pre-owned fashion, and are there multiple payment options available?",1,0,34.0,,,
llm-style-long-prompt,i buy pre-owned fashion regularly and gravitate toward well-known premium labels and quality brands are there reliable customer reviews and ratings on ebay that can help me assess the quality and authenticity of pre-owned fashion items?,1,0,39.0,,,
