id,inventory_item_id,platform,platform_listing_id,listing_url,listing_price,listed_at,is_active,notes,created_at,updated_at,listing_title,listing_description,listing_status,watchers,views,search_vec,primary_photo_id,badge_enabled,platform_offer_id,platform_category_id,batch_id,scheduled_publish_at,publish_error,publish_failed_at,ebay_condition,ebay_condition_description,item_specifics_override,return_policy_id,shipping_policy_id,payment_policy_id,quantity,best_offer_enabled,synced_to_ebay_at,price_is_estimated,publish_claimed_at,ai_confidence,ai_field_confidence,needs_review,platform_fields,platform_fields_generated_at,source_of_truth,promo_rate_pct,views_total,watchers_count,impressions_7d,click_through_rate,last_metrics_synced_at,view_trend_7d,best_offer_auto_accept_cents,best_offer_auto_decline_cents,listing_format,auction_start_price_cents,auction_reserve_price_cents,auction_buy_it_now_price_cents,auction_duration,variations,delist_requested_at,slab_image_mode,item_specifics_sources,aspect_review,moderation_hidden,price_range_low_cents,price_range_high_cents,price_confidence,price_comp_source,user_id,promo_opt_out,promo_campaign_id,promo_ad_id,promo_status,promo_ad_fees_cents,promo_synced_at,title_variants,active_title_variant,demand_terms,ai_generated_snapshot,ai_prompt_version,listing_origin
bf303dc1-5d8e-4467-ae33-2977946042b7,dc0c30ed-9548-4f32-987f-6e4dc1e55f14,ebay,327232882202,https://www.ebay.com/itm/327232882202,45.5,2026-06-26 03:35:08.465+00,true,null,2026-06-26 02:44:39.854832+00,2026-06-26 03:35:11.510146+00,Vuori Women's Jogger Sweatpants Size M Gray Recycled Polyester Drawstring,"Vuori jogger-style sweatpants in a heathered gray colorway. Made from 89% recycled polyester and 11% elastane for a soft, stretchy feel. Features an elasticized waistband with a woven drawstring and ribbed ankle cuffs. Size M. Manufactured in Vietnam. Item appears in good used condition with no visible damage, staining, or heavy wear noted in the photos.

View the full condition certificate: https://gradethread.com/cert/36f28fad-1a88-4fc5-953f-1c8039eb9e72",active,0,0,"'/cert/36f28fad-1a88-4fc5-953f-1c8039eb9e72':77C '11':28C '89':24C 'ankl':45C 'appear':53C 'certif':74C 'colorway':21C 'condit':57C,73C 'cuff':46C 'damag':61C 'drawstr':11A,42C 'elastan':29C 'elastic':37C 'featur':35C 'feel':34C 'full':72C 'good':55C 'gradethread.com':76C 'gradethread.com/cert/36f28fad-1a88-4fc5-953f-1c8039eb9e72':75C 'gray':8A,20C 'heather':19C 'heavi':64C 'item':52C 'jogger':4A,14C 'jogger-styl':13C 'm':7A,48C 'made':22C 'manufactur':49C 'note':66C 'photo':69C 'polyest':10A,26C 'recycl':9A,25C 'rib':44C 'size':6A,47C 'soft':32C 'stain':62C 'stretchi':33C 'style':15C 'sweatpant':5A,16C 'use':56C 'vietnam':51C 'view':70C 'visibl':60C 'vuori':1A,12C 'waistband':38C 'wear':65C 'women':2A 'woven':41C",null,false,194588201011,260954,null,null,null,null,USED_EXCELLENT,null,null,null,null,null,1,false,2026-06-26 03:35:08.466+00,false,null,null,null,false,null,null,{},null,0,0,0,null,null,[],null,null,fixed_price,null,null,null,null,null,null,off,{},null,false,null,null,null,null,c55c2414-7e0b-4431-944e-c0a16887bf31,false,164590911012,null,failed,0,2026-06-26 03:35:11.489+00,null,A,null,null,null,gradethread
0f7972c2-be0a-4d14-943d-78952e11bf5d,3cd1d0ec-0dca-4d4d-8788-c4a19fb1e768,ebay,null,null,62.5,2026-06-26 02:41:11.993937+00,true,null,2026-06-26 02:41:11.993937+00,2026-06-26 03:37:26.64705+00,Magashoni 100% Cashmere Wrap Belted Cardigan Sweater – Dark Brown,"Luxurious 100% cashmere wrap-style cardigan sweater in a rich dark brown. Features a self-tie belt, long sleeves with ribbed cuffs, and a ribbed hem. The open-front wrap silhouette gives it a relaxed, elegant drape. Care label reads RN 86804 / CA 30427 — 100% Cashmere; hand wash in cold water with mild detergent, towel dry, reshape and lay flat; iron on mild heat or dry clean. Condition: pre-owned with light general wear; some lint/pilling visible on the surface consistent with cashmere use. No major damage noted.",draft,0,0,"'100':2A,11C,57C '30427':56C '86804':54C 'belt':5A,28C 'brown':9A,22C 'ca':55C 'cardigan':6A,16C 'care':50C 'cashmer':3A,12C,58C,96C 'clean':79C 'cold':62C 'condit':80C 'consist':94C 'cuff':33C 'damag':100C 'dark':8A,21C 'deterg':66C 'drape':49C 'dri':68C,78C 'eleg':48C 'featur':23C 'flat':72C 'front':41C 'general':86C 'give':44C 'hand':59C 'heat':76C 'hem':37C 'iron':73C 'label':51C 'lay':71C 'light':85C 'lint/pilling':89C 'long':29C 'luxuri':10C 'magashoni':1A 'major':99C 'mild':65C,75C 'note':101C 'open':40C 'open-front':39C 'own':83C 'pre':82C 'pre-own':81C 'read':52C 'relax':47C 'reshap':69C 'rib':32C,36C 'rich':20C 'rn':53C 'self':26C 'self-ti':25C 'silhouett':43C 'sleev':30C 'style':15C 'surfac':93C 'sweater':7A,17C 'tie':27C 'towel':67C 'use':97C 'visibl':90C 'wash':60C 'water':63C 'wear':87C 'wrap':4A,14C,42C 'wrap-styl':13C",null,false,null,null,null,null,"eBay rejected the listing. Re-check the category, condition, price, and required specifics, then try again.",2026-06-26 03:37:26.598+00,USED_VERY_GOOD,null,null,null,null,null,1,false,null,false,null,null,null,false,null,null,{},null,0,0,0,null,null,[],null,null,fixed_price,null,null,null,null,null,null,off,{},null,false,null,null,null,null,c55c2414-7e0b-4431-944e-c0a16887bf31,false,null,null,null,0,null,null,A,null,null,null,gradethread
eab2d2e6-bb83-4632-8a09-baf9482f9809,4e1c78d1-9557-4733-9538-34f958b56020,ebay,327232443716,https://www.ebay.com/itm/327232443716,41.5,2026-06-25 21:07:59.095+00,true,null,2026-06-25 21:07:44.527269+00,2026-06-25 21:08:00.087178+00,Lululemon Men's Khaki Chino Shorts Size 33,"Lululemon men's performance chino shorts in khaki/tan. Size 33 waist. Features a smooth, lightweight synthetic performance fabric, flat-front styling, button-and-zip fly closure, two front slash pockets, two back welt pockets, and belt loops. Great for golf, travel, or everyday wear.

Condition: Good used condition. No visible stains or tears. Minor surface scuffing on the metal button. Ready to wear.",active,0,0,"'33':8A,18C 'back':42C 'belt':46C 'button':32C,70C 'button-and-zip':31C 'chino':5A,13C 'closur':36C 'condit':55C,58C 'everyday':53C 'fabric':26C 'featur':20C 'flat':28C 'flat-front':27C 'fli':35C 'front':29C,38C 'golf':50C 'good':56C 'great':48C 'khaki':4A 'khaki/tan':16C 'lightweight':23C 'loop':47C 'lululemon':1A,9C 'men':2A,10C 'metal':69C 'minor':64C 'perform':12C,25C 'pocket':40C,44C 'readi':71C 'scuf':66C 'short':6A,14C 'size':7A,17C 'slash':39C 'smooth':22C 'stain':61C 'style':30C 'surfac':65C 'synthet':24C 'tear':63C 'travel':51C 'two':37C,41C 'use':57C 'visibl':60C 'waist':19C 'wear':54C,73C 'welt':43C 'zip':34C",null,false,194442581011,15689,null,null,null,null,USED_EXCELLENT,null,null,null,null,null,1,false,2026-06-25 21:07:59.095+00,false,null,null,null,false,null,null,{},null,0,0,0,null,null,[],null,null,fixed_price,null,null,null,null,null,null,off,{},null,false,null,null,null,null,c55c2414-7e0b-4431-944e-c0a16887bf31,false,164590911012,null,failed,0,2026-06-25 21:08:00.053+00,null,A,null,null,null,gradethread
857fdb19-e8a3-4274-8ddf-158a08f872e3,08752839-ff8a-4fcf-a0e6-2f14e592c1c1,ebay,327217292761,https://www.ebay.com/itm/327217292761,34.5,2026-06-17 01:15:46.78+00,true,null,2026-06-17 01:15:40.684065+00,2026-06-19 05:17:12.466898+00,Peruvian Connection Pima Cotton Modal V-Neck Sleeveless Tank Top XS Blue,"Peruvian Connection sleeveless V-neck tank top in a soft steel blue. Made from a luxurious blend of 51% Pima Cotton and 49% Modal for a silky, breathable feel. Size XS, made in Peru.

• Brand: Peruvian Connection
• Size: XS
• Color: Steel Blue
• Material: 51% Pima Cotton / 49% Modal
• Neckline: V-Neck
• Sleeve: Sleeveless
• Care: Hand wash cold, lay flat to dry, low iron or dry clean
• Country of Manufacture: Peru

Condition: Good pre-owned condition — no visible stains, holes, or damage observed.",active,0,0,"'49':37C,61C '51':33C,58C 'blend':31C 'blue':13A,26C,56C 'brand':49C 'breathabl':42C 'care':69C 'clean':81C 'cold':72C 'color':54C 'condit':86C,91C 'connect':2A,15C,51C 'cotton':4A,35C,60C 'countri':82C 'damag':97C 'dri':76C,80C 'feel':43C 'flat':74C 'good':87C 'hand':70C 'hole':95C 'iron':78C 'lay':73C 'low':77C 'luxuri':30C 'made':27C,46C 'manufactur':84C 'materi':57C 'modal':5A,38C,62C 'neck':8A,19C,66C 'necklin':63C 'observ':98C 'own':90C 'peru':48C,85C 'peruvian':1A,14C,50C 'pima':3A,34C,59C 'pre':89C 'pre-own':88C 'silki':41C 'size':44C,52C 'sleev':67C 'sleeveless':9A,16C,68C 'soft':24C 'stain':94C 'steel':25C,55C 'tank':10A,20C 'top':11A,21C 'v':7A,18C,65C 'v-neck':6A,17C,64C 'visibl':93C 'wash':71C 'xs':12A,45C,53C",null,false,188736930011,53159,null,null,null,null,USED_EXCELLENT,null,null,null,null,null,1,false,2026-06-17 01:15:46.78+00,false,null,null,null,false,null,null,{},null,0,0,0,null,null,[],null,null,fixed_price,null,null,null,null,null,null,off,{},null,false,null,null,null,null,c55c2414-7e0b-4431-944e-c0a16887bf31,false,164590911012,null,failed,0,2026-06-17 01:15:47.702+00,null,A,null,null,null,gradethread
36ae4095-b896-4bcc-ab5d-9a902a9cdb9b,c50c0085-1e9c-436a-843d-f6872067391f,ebay,327217091560,https://www.ebay.com/itm/327217091560,92.5,2026-06-16 22:51:46.983+00,true,null,2026-06-16 22:51:40.710814+00,2026-06-19 05:17:12.466898+00,ba&sh Lady Pullover Wool Yak Blend Sweater in Mauve — Size 1 US Sm,"ba&sh 'Lady Pullover' knit sweater in a rich mauve heather. Crafted from a luxurious 72% Wool / 28% Yak blend for warmth and softness. Features a crew/mock neck, puff-shoulder long sleeves, ribbed cuffs and hem, and a centre-front seam detail. Size 1 (French sizing, fits approx. XS–S). Made in China.

Condition: Good used condition. Light pilling on the body consistent with normal wear. There is a small snag/hole on the ribbed hem band (see defect photo). Please review all photos before purchasing.",active,0,0,"'1':12A,60C '28':32C '72':30C 'approx':64C 'ba':1A,15C 'band':92C 'blend':7A,34C 'bodi':78C 'centr':55C 'centre-front':54C 'china':69C 'condit':70C,73C 'consist':79C 'craft':26C 'crew/mock':41C 'cuff':49C 'defect':94C 'detail':58C 'featur':39C 'fit':63C 'french':61C 'front':56C 'good':71C 'heather':25C 'hem':51C,91C 'knit':19C 'ladi':3A,17C 'light':74C 'long':46C 'luxuri':29C 'made':67C 'mauv':10A,24C 'neck':42C 'normal':81C 'photo':95C,99C 'pill':75C 'pleas':96C 'puff':44C 'puff-should':43C 'pullov':4A,18C 'purchas':101C 'review':97C 'rib':48C,90C 'rich':23C 'seam':57C 'see':93C 'sh':2A,16C 'shoulder':45C 'size':11A,59C,62C 'sleev':47C 'sm':14A 'small':86C 'snag/hole':87C 'soft':38C 'sweater':8A,20C 'us':13A 'use':72C 'warmth':36C 'wear':82C 'wool':5A,31C 'xs':65C 'yak':6A,33C",null,false,188679718011,63866,null,null,null,null,USED_EXCELLENT,null,null,null,null,null,1,false,2026-06-16 22:51:46.983+00,false,null,null,null,false,null,null,{},null,0,0,0,null,null,[],null,null,fixed_price,null,null,null,null,null,null,off,{},null,false,null,null,null,null,c55c2414-7e0b-4431-944e-c0a16887bf31,false,164590911012,null,failed,0,2026-06-16 22:51:47.914+00,null,A,null,null,null,gradethread
56b2c012-d35a-4076-9ff0-e17e60f9a903,f1e966f3-87df-4c93-bce5-cd93cd05d92d,ebay,327217081204,https://www.ebay.com/itm/327217081204,38.5,2026-06-16 22:46:13.179+00,true,null,2026-06-16 22:46:06.297234+00,2026-06-19 05:17:12.466898+00,"Madewell Ribbed Alpaca-Blend Button-Front Cardigan Sweater – Blue, Size S","Madewell Ribbed Alpaca-Blend Button-Front Cardigan in a heathered blue. Made from a luxuriously soft 62% Alpaca / 38% Polyamide blend, this long-sleeve ribbed cardigan features mother-of-pearl style buttons down the front and a crew/round neckline. Size S, Made in China (Fair Trade Certified Factory).

Condition: Good used condition. Light surface fuzz and minor pilling consistent with normal wear to the alpaca fabric. No holes, stains, or structural damage noted. Dry clean only per care label.",active,0,0,"'38':33C '62':31C 'alpaca':4A,16C,32C,81C 'alpaca-blend':3A,15C 'blend':5A,17C,35C 'blue':11A,25C 'button':7A,19C,48C 'button-front':6A,18C 'cardigan':9A,21C,41C 'care':94C 'certifi':63C 'china':60C 'clean':91C 'condit':65C,68C 'consist':75C 'crew/round':54C 'damag':88C 'dri':90C 'fabric':82C 'factori':64C 'fair':61C 'featur':42C 'front':8A,20C,51C 'fuzz':71C 'good':66C 'heather':24C 'hole':84C 'label':95C 'light':69C 'long':38C 'long-sleev':37C 'luxuri':29C 'made':26C,58C 'madewel':1A,13C 'minor':73C 'mother':44C 'mother-of-pearl':43C 'necklin':55C 'normal':77C 'note':89C 'pearl':46C 'per':93C 'pill':74C 'polyamid':34C 'rib':2A,14C,40C 'size':12A,56C 'sleev':39C 'soft':30C 'stain':85C 'structur':87C 'style':47C 'surfac':70C 'sweater':10A 'trade':62C 'use':67C 'wear':78C",null,false,188677583011,63866,null,null,null,null,USED_EXCELLENT,null,null,null,null,null,1,false,2026-06-16 22:46:13.179+00,false,null,null,null,false,null,null,{},null,0,0,0,null,null,[],null,null,fixed_price,null,null,null,null,null,null,off,{},null,false,null,null,null,null,c55c2414-7e0b-4431-944e-c0a16887bf31,false,164590911012,null,failed,0,2026-06-16 22:46:13.899+00,null,A,null,null,null,gradethread
aad5cc10-a8cc-4275-8ae3-591123257fba,536d05d6-52b8-4992-8335-27c1f8c592f2,ebay,327217079082,https://www.ebay.com/itm/327217079082,42.5,2026-06-16 22:42:37.812+00,true,null,2026-06-16 22:42:32.687435+00,2026-06-19 05:17:12.466898+00,Lauren Ralph Lauren Women's Cable Knit Crewneck Sweater with Gold Crest Emblem –,"Lauren Ralph Lauren Women's Cable Knit Crewneck Sweater in charcoal gray, size XS. Features an all-over cable knit pattern and a decorative gold bullion crest emblem on the left chest. Made from 58% cotton and 42% viscose. Made in China.

Condition: Good pre-owned condition. The knit body is clean with no holes or stains. The gold crest patch has minor fuzz on the felt backing but is fully intact and securely attached.",active,0,0,"'42':52C '58':49C 'all-ov':30C 'attach':90C 'back':83C 'bodi':65C 'bullion':40C 'cabl':6A,19C,33C 'charcoal':24C 'chest':46C 'china':56C 'clean':67C 'condit':57C,62C 'cotton':50C 'crest':12A,41C,75C 'crewneck':8A,21C 'decor':38C 'emblem':13A,42C 'featur':28C 'felt':82C 'fulli':86C 'fuzz':79C 'gold':11A,39C,74C 'good':58C 'gray':25C 'hole':70C 'intact':87C 'knit':7A,20C,34C,64C 'lauren':1A,3A,14C,16C 'left':45C 'made':47C,54C 'minor':78C 'own':61C 'patch':76C 'pattern':35C 'pre':60C 'pre-own':59C 'ralph':2A,15C 'secur':89C 'size':26C 'stain':72C 'sweater':9A,22C 'viscos':53C 'women':4A,17C 'xs':27C",null,false,188676112011,63866,null,null,null,null,USED_EXCELLENT,null,null,null,null,null,1,false,2026-06-16 22:42:37.812+00,false,null,null,null,false,null,null,{},4.00,0,0,0,null,null,[],null,null,fixed_price,null,null,null,null,null,null,off,{},null,false,null,null,null,null,c55c2414-7e0b-4431-944e-c0a16887bf31,false,164590911012,null,active,0,2026-06-16 22:42:38.371+00,null,A,null,null,null,gradethread
7e1e9b46-b84b-4ab2-8510-9c70e5e8fc9d,639aff08-e71c-49eb-827e-b966393206da,ebay,327217076108,https://www.ebay.com/itm/327217076108,42.5,2026-06-16 22:37:36.418+00,true,null,2026-06-16 22:37:31.431402+00,2026-06-19 05:17:12.466898+00,Greyson Men's Gray Performance Golf Pants Size 34,"Greyson Men's Performance Golf Pants in slate gray — a premium athletic trouser from the luxury golf brand. Size 34 waist. Made from a smooth, lightweight synthetic performance fabric with a refined look. Features include a flat front, zip fly, side slash pockets, zippered back pockets, and adjustable button tabs at the hem. Made in China.

Condition: Excellent used condition. No visible stains, tears, or signs of wear — only light storage creases.",active,0,0,"'34':9A,29C 'adjust':57C 'athlet':21C 'back':54C 'brand':27C 'button':58C 'china':65C 'condit':66C,69C 'creas':81C 'excel':67C 'fabric':38C 'featur':43C 'flat':46C 'fli':49C 'front':47C 'golf':6A,14C,26C 'gray':4A,18C 'greyson':1A,10C 'hem':62C 'includ':44C 'light':79C 'lightweight':35C 'look':42C 'luxuri':25C 'made':31C,63C 'men':2A,11C 'pant':7A,15C 'perform':5A,13C,37C 'pocket':52C,55C 'premium':20C 'refin':41C 'side':50C 'sign':75C 'size':8A,28C 'slash':51C 'slate':17C 'smooth':34C 'stain':72C 'storag':80C 'synthet':36C 'tab':59C 'tear':73C 'trouser':22C 'use':68C 'visibl':71C 'waist':30C 'wear':77C 'zip':48C 'zipper':53C",null,false,188674836011,181137,null,null,null,null,USED_EXCELLENT,null,null,null,null,null,1,false,2026-06-16 22:37:36.418+00,false,null,null,null,false,null,null,{},null,0,0,0,null,null,[],null,null,fixed_price,null,null,null,null,null,null,off,{},null,false,null,null,null,null,c55c2414-7e0b-4431-944e-c0a16887bf31,false,164590911012,null,failed,0,2026-06-16 22:37:37.029+00,null,A,null,null,null,gradethread
14c9a99a-63f6-4d82-a174-8cb4f32977d5,527cdd29-0420-4943-b4c9-103ab4832766,ebay,327216974447,https://www.ebay.com/itm/327216974447,63.5,2026-06-16 21:04:50.184+00,true,null,2026-06-16 21:04:44.245626+00,2026-06-19 05:17:12.466898+00,Patagonia R1 Fleece Pullover 1/4 Zip Sweater - Men's Small - Blue,"Patagonia R1 Fleece Pullover 1/4-Zip in a steel blue wavy-pattern fleece — a classic technical midlayer built for active outdoor use. Brand: Patagonia | Size: Small (Men's) | Color: Blue | Material: Textured Polartec fleece with contrast gray trim and bright yellow/lime zip accents. Features a chest zip pocket with Patagonia logo patch, a second interior zip pocket, and flatlock seams. Made in Sri Lanka.

Condition: Good used condition. No visible stains, holes, or significant wear noted. A solid, functional piece ready for layering.",active,0,0,"'1/4':5A '1/4-zip':16C 'accent':54C 'activ':31C 'blue':11A,20C,41C 'brand':34C 'bright':51C 'built':29C 'chest':57C 'classic':26C 'color':40C 'condit':76C,79C 'contrast':47C 'featur':55C 'flatlock':70C 'fleec':3A,14C,24C,45C 'function':90C 'good':77C 'gray':48C 'hole':83C 'interior':66C 'lanka':75C 'layer':94C 'logo':62C 'made':72C 'materi':42C 'men':8A,38C 'midlay':28C 'note':87C 'outdoor':32C 'patagonia':1A,12C,35C,61C 'patch':63C 'pattern':23C 'piec':91C 'pocket':59C,68C 'polartec':44C 'pullov':4A,15C 'r1':2A,13C 'readi':92C 'seam':71C 'second':65C 'signific':85C 'size':36C 'small':10A,37C 'solid':89C 'sri':74C 'stain':82C 'steel':19C 'sweater':7A 'technic':27C 'textur':43C 'trim':49C 'use':33C,78C 'visibl':81C 'wavi':22C 'wavy-pattern':21C 'wear':86C 'yellow/lime':52C 'zip':6A,53C,58C,67C",null,false,188640952011,11484,null,null,null,null,USED_EXCELLENT,null,null,null,null,null,1,false,2026-06-16 21:04:50.184+00,false,null,null,null,false,null,null,{},null,0,0,0,null,null,[],null,null,fixed_price,null,null,null,null,null,null,off,{},null,false,null,null,null,null,c55c2414-7e0b-4431-944e-c0a16887bf31,false,164590911012,null,failed,0,2026-06-16 21:04:50.887+00,null,A,null,null,null,gradethread
668bf315-be7f-47dc-86d8-79523b49e42f,9b09a28e-54af-47fa-b76f-ac383998175e,ebay,327216971488,https://www.ebay.com/itm/327216971488,114.5,2026-06-16 20:58:26.673+00,true,null,2026-06-16 20:58:20.314441+00,2026-06-19 05:17:12.466898+00,Paul Green Super Soft Suede Lace-Up Boat Shoe Loafer — Size 5.5,"Paul Green Super Soft suede lace-up boat shoe loafer in tan, size 5.5. Features moc-toe construction, tonal laces with silver eyelets, and Paul Green's signature cushioned insole. Upper is genuine suede with moccasin-style stitching and a low, flat rubber outsole. Pre-owned condition: suede upper shows visible scuffing and soiling, especially on the toe box and sides; soles display light wear. A great everyday casual shoe with some life left — suede cleaner/brush recommended to refresh the upper.",active,0,0,"'5.5':13A,28C 'boat':9A,22C 'box':76C 'casual':86C 'cleaner/brush':93C 'condit':64C 'construct':33C 'cushion':44C 'display':80C 'especi':72C 'everyday':85C 'eyelet':38C 'featur':29C 'flat':58C 'genuin':48C 'great':84C 'green':2A,15C,41C 'insol':45C 'lace':7A,20C,35C 'lace-up':6A,19C 'left':91C 'life':90C 'light':81C 'loafer':11A,24C 'low':57C 'moc':31C 'moc-to':30C 'moccasin':52C 'moccasin-styl':51C 'outsol':60C 'own':63C 'paul':1A,14C,40C 'pre':62C 'pre-own':61C 'recommend':94C 'refresh':96C 'rubber':59C 'scuf':69C 'shoe':10A,23C,87C 'show':67C 'side':78C 'signatur':43C 'silver':37C 'size':12A,27C 'soft':4A,17C 'soil':71C 'sole':79C 'stitch':54C 'style':53C 'sued':5A,18C,49C,65C,92C 'super':3A,16C 'tan':26C 'toe':32C,75C 'tonal':34C 'upper':46C,66C,98C 'visibl':68C 'wear':82C",null,false,188638574011,45333,null,null,null,null,USED_EXCELLENT,null,null,null,null,null,1,false,2026-06-16 20:58:26.673+00,false,null,null,null,false,null,null,{},null,0,0,0,null,null,[],null,null,fixed_price,null,null,null,null,null,null,off,{},null,false,null,null,null,null,c55c2414-7e0b-4431-944e-c0a16887bf31,false,164590911012,null,failed,0,2026-06-16 20:58:27.292+00,null,A,null,null,null,gradethread
