id,inventory_item_id,listing_id,sale_price,platform_fees,sale_date,buyer_username,buyer_notes,created_at,shipping_collected,payment_processing_fees,shipping_cost,grading_cost,other_costs,buyer_id,sold_at,shipped_at,tracking_number,payout_reference,net_profit,tax,payout_amount,search_vec,platform_order_id,status,cancelled_at,line_item_id,quantity,platform_order_ref,user_id,carrier,delivered_at
2e0a6ef1-90dd-4c15-9499-1cfc71388a84,9e36a1f5-535d-4662-8d8d-7b7ab8f1a237,e9269e1a-caf9-48b2-ad25-1d21fa605ce9,45,7.39,2026-06-18 00:00:00+00,ausaav-0,null,2026-06-19 05:17:23.249443+00,10.00,0.00,0.00,0.00,0.00,ausaav-0,2026-06-18 21:28:21+00,null,null,null,41.61,0.00,40.22,'-0':2B 'ausaav':1B,17-14777-35940,completed,null,10082719814917,1,null,c55c2414-7e0b-4431-944e-c0a16887bf31,null,null
8bfe8410-81e7-45e0-9bee-c372ae8e872c,431ef641-cbb5-4319-81dc-741760851d92,3714d845-bc8b-480b-8d16-29d0cdf7a365,30,0,2026-06-17 00:00:00+00,aliydeewo-0,null,2026-06-17 02:34:19.933749+00,10.00,0.00,7.22,0.00,0.00,aliydeewo-0,2026-06-17 02:17:11+00,null,null,null,32.78,0.00,0.00,'-0':2B 'aliydeewo':1B,20-14764-69013,completed,null,10081652865820,1,null,c55c2414-7e0b-4431-944e-c0a16887bf31,null,null
8aa35b33-4f1a-4a7a-af18-4c92ca93b24f,d6d1e095-62dc-4ed4-aa3b-2f5563765607,d2340a2e-d898-4494-b836-bb23f4bd5d41,36.5,0,2026-06-17 00:00:00+00,aum-kevi,null,2026-06-17 02:34:20.596698+00,10.00,0.00,6.37,0.00,0.00,aum-kevi,2026-06-17 00:46:34+00,null,null,null,35.64,0.00,0.00,'aum':2B 'aum-kevi':1B 'kevi':3B,26-14754-54466,completed,null,10081477891026,1,null,c55c2414-7e0b-4431-944e-c0a16887bf31,null,null
b883f152-2b9f-44f3-8c57-75f950660236,d4f84ab1-8503-45cf-811c-ed913ec969fd,69ea2634-b8ac-4903-90a7-56361888102d,30.4,5.53,2026-06-14 00:00:00+00,thesilent_1,null,2026-06-16 18:19:30.722881+00,10.00,0.00,12.82,0.00,0.00,thesilent_1,2026-06-14 22:27:15+00,null,null,null,12.25,0.00,16.52,'1':2B 'thesil':1B,19-14756-58559,completed,null,10082576164519,1,null,c55c2414-7e0b-4431-944e-c0a16887bf31,null,null
8d33ac43-27d2-44e4-a84f-8d57cbec97d3,73124246-1669-42ec-9c9d-42bc0dc3df98,a85b180a-a7d8-416c-b80a-1461b9a538a5,38.25,6.71,2026-06-12 00:00:00+00,dandr-1725,null,2026-06-12 16:30:56.836018+00,10.00,0.00,9.52,0.00,0.00,dandr-1725,2026-06-12 01:55:16+00,null,null,null,18.03,0.00,16.62,'-1725':2B 'dandr':1B,02-14773-59401,completed,null,10081857558502,1,null,c55c2414-7e0b-4431-944e-c0a16887bf31,null,null
dbb1a979-2f11-4c35-be29-524555149e1b,1b72406d-c4cb-44e3-8640-bcfdb714d7d9,4dbd335c-394b-4d16-828e-7d0580703716,31.5,5.83,2026-06-12 00:00:00+00,dandr-1725,null,2026-06-12 16:30:59.596911+00,10.00,0.00,0.00,0.00,0.00,dandr-1725,2026-06-12 01:54:15+00,null,null,null,21.68,0.00,29.84,'-1725':2B 'dandr':1B,08-14763-05351,completed,null,10081617065508,1,null,c55c2414-7e0b-4431-944e-c0a16887bf31,null,null
1ef89f51-f495-4fec-94d5-becc22927c41,65b47c3a-018f-4b36-b900-0c7e2b746201,f86a4b67-684b-4af2-9b84-9cf75d1de5fc,15,3.83,2026-06-11 00:00:00+00,melkl_1632,null,2026-06-11 14:25:40.717228+00,10.00,0.00,5.89,0.00,0.00,melkl_1632,2026-06-11 12:19:34+00,null,null,null,10.29,0.00,11.45,'1632':2B 'melkl':1B,27-14729-70836,completed,null,10085697490127,1,null,c55c2414-7e0b-4431-944e-c0a16887bf31,null,null
ecce7969-857e-42ec-8e85-d99476eeed4e,a659a19a-1875-4d0a-be13-36043f821af5,ebcef9d7-c111-4749-b800-add6d14fa306,87.83,13.81,2026-06-11 00:00:00+00,partyinmex,null,2026-06-12 16:31:04.107566+00,10.50,0.00,9.52,0.00,0.00,partyinmex,2026-06-11 16:48:14+00,null,null,null,60.00,0.00,61.19,'partyinmex':1B,12-14754-83270,completed,null,10082601453712,1,null,c55c2414-7e0b-4431-944e-c0a16887bf31,null,null
ea00b617-e034-49a3-939f-c8c934d1f061,f82b62a0-07ad-4128-ba87-965ee1221afc,f4200657-a705-45df-822f-246dc6d28bcc,75,11.2,2026-06-11 00:00:00+00,kdlong19,null,2026-06-11 14:25:38.127921+00,10.00,0.00,9.21,0.00,0.00,kdlong19,2026-06-11 04:08:01+00,null,null,null,64.59,0.00,53.39,'kdlong19':1B,12-14752-68408,completed,null,10082589324212,1,null,c55c2414-7e0b-4431-944e-c0a16887bf31,null,null
8a395b70-9c16-4b5e-9aad-dd72c17c8e27,1c52336d-c46b-4163-a8e2-c44b1e218197,f80ea580-da43-401d-ab5f-15a6cb79802b,28,5.53,2026-06-10 00:00:00+00,deenabee,null,2026-06-10 13:22:07.00563+00,10.00,0.00,5.97,0.00,0.00,deenabee,2026-06-10 12:10:38+00,null,null,null,22.05,0.00,20.97,'deenabe':1B,16-14742-88646,completed,null,10082516501316,1,null,c55c2414-7e0b-4431-944e-c0a16887bf31,null,null
