Date,Clicks,Impressions,CTR,Position
2026-05-25,0,0,,
2026-05-26,0,0,,
2026-05-27,0,0,,
2026-05-28,0,0,,
2026-05-29,0,0,,
2026-05-30,0,0,,
2026-05-31,0,0,,
2026-06-01,0,0,,
2026-06-02,0,0,,
2026-06-03,0,0,,
2026-06-04,0,0,,
2026-06-05,0,0,,
2026-06-06,0,1,0%,4
2026-06-07,0,1,0%,1
2026-06-08,0,0,,
2026-06-09,0,0,,
2026-06-10,0,0,,
2026-06-11,0,0,,
2026-06-12,0,1,0%,1
2026-06-13,0,0,,
2026-06-14,0,0,,
2026-06-15,0,0,,
2026-06-16,0,0,,
2026-06-17,0,0,,
2026-06-18,0,0,,
2026-06-19,0,0,,
2026-06-20,0,2,0%,6.5
2026-06-21,0,0,,
2026-06-22,0,1,0%,6
2026-06-23,0,2,0%,18.5
2026-06-24,0,1,0%,2
2026-06-25,0,3,0%,8
2026-06-26,0,0,,
2026-06-27,0,1,0%,10
2026-06-28,0,1,0%,11
2026-06-29,0,0,,
2026-06-30,0,2,0%,4.5
2026-07-01,0,5,0%,2.6
2026-07-02,0,4,0%,2
2026-07-03,0,1,0%,10
2026-07-04,0,0,,
2026-07-05,0,3,0%,4.7
2026-07-06,0,1,0%,11
2026-07-07,0,4,0%,9.5
2026-07-08,0,15,0%,16.4
2026-07-09,0,8,0%,10.9
2026-07-10,0,9,0%,12.7
2026-07-11,1,28,3.57%,12.4
2026-07-12,0,33,0%,10.1
2026-07-13,0,33,0%,11.7
2026-07-14,0,44,0%,9.4
2026-07-15,0,47,0%,9.3
2026-07-16,0,51,0%,10.2
2026-07-17,0,51,0%,8.9
2026-07-18,0,44,0%,9.2
2026-07-19,0,56,0%,8.1
2026-07-20,0,92,0%,13.8
2026-07-21,0,146,0%,12.6
2026-07-22,0,168,0%,12
2026-07-23,2,256,0.78%,15.6
2026-07-24,2,182,1.1%,14.2
2026-07-25,1,139,0.72%,13.5
2026-07-26,1,104,0.96%,16.5
2026-07-27,3,138,2.17%,13.5
2026-07-28,1,123,0.81%,16.7
2026-07-29,0,105,0%,15.2
2026-07-30,1,126,0.79%,20.9
2026-07-31,0,88,0%,21.2
2026-08-01,0,153,0%,19.2
2026-08-02,0,133,0%,14.2
2026-08-03,2,115,1.74%,10.6
2026-08-04,1,174,0.57%,13.1
2026-08-05,3,216,1.39%,13.9
2026-08-06,1,222,0.45%,13.3
2026-08-07,2,226,0.88%,9.2
2026-08-08,2,303,0.66%,13.2
2026-08-09,5,362,1.38%,14.7
2026-08-10,5,339,1.47%,12.8
2026-08-11,2,349,0.57%,13.9
2026-08-12,4,275,1.45%,14.4
2026-08-13,4,386,1.04%,14.9
2026-08-14,3,347,0.86%,11.8
2026-08-15,6,388,1.55%,14.6
2026-08-16,3,326,0.92%,16.5
